unique_id,date,title,company,type,experience,salary,interview_difficulty
134289282727120,2022-09-06,eletrician,Siemens,non-Tech,2,85233,71.39
134289282720832,2022-09-05,trainee,Boeing,non-Tech,2,88501,97.11
134289282724480,2022-12-03,mechanic,Siemens,non-Tech,2,88811,69.47
134289282724240,2022-12-08,trainee,Boeing,non-Tech,2,82580,97.32
134289282721936,2022-11-19,trainee,Siemens,non-Tech,3,88266,75.94
134289282720736,2022-10-16,devops engineer,Apple,Tech,2,82783,71.52
134289282722512,2022-12-01,platform engineer,Apple,Tech,3,84503,77.34
134289282721024,2022-09-18,designer,Boeing,non-Tech,1,91969,69.09
134289282721168,2022-12-10,mechanic,Siemens,non-Tech,1,70844,80.2
134289282720880,2022-12-18,trainee,Siemens,non-Tech,4,89250,71.88
134289282725056,2022-08-24,platform engineer,Apple,Tech,3,90090,76.14
134289282718960,2022-06-17,trainee,Boeing,non-Tech,1,92400,87.92
134289282721072,2022-12-01,devops engineer,Apple,Tech,4,92410,99.36
134289282724816,2022-10-22,trainee,Boeing,non-Tech,2,83132,77.31
134289282724720,2022-08-02,mechanic,Boeing,non-Tech,1,97074,72.73
134289282720688,2022-12-21,trainee,Siemens,non-Tech,1,73083,85.11
134290184545248,2022-08-23,designer,Boeing,non-Tech,1,87738,81.08
134290184541840,2022-11-25,devops engineer,Apple,Tech,3,65918,76.73
134290184541504,2022-10-07,platform engineer,Apple,Tech,2,63778,85.71
134290184541312,2022-09-16,designer,Boeing,non-Tech,,76332,90.89
134290184542320,2022-10-19,platform engineer,Apple,Tech,,69268,79.4
134290184549184,2022-05-05,devops engineer,Apple,Tech,1,86547,96.35
134290184547792,2022-10-12,devops engineer,Apple,Tech,1,71851,78.8
134290184543424,2022-10-31,devops engineer,Apple,Tech,2,82090,90.41
134290184548848,2022-12-30,mechanic,Siemens,non-Tech,1,63793,90.03
134290184547552,2022-11-06,eletrician,Siemens,non-Tech,2,84103,95.47
134290184542032,2022-08-07,designer,Boeing,non-Tech,2,72435,61.38
134290184547600,2022-12-20,devops engineer,Apple,Tech,2,,91.63
134290184544720,2022-10-14,designer,Boeing,non-Tech,4,80222,64.42
134290184541360,2022-10-30,mechanic,Siemens,non-Tech,2,64641,62.43
134290184541168,2022-05-27,trainee,Siemens,non-Tech,2,74559,72.19
134290184540928,2022-10-12,trainee,Siemens,non-Tech,2,75394,76.98
134290184542896,2022-05-15,trainee,Siemens,non-Tech,1,94976,74.6
134290184545296,2022-11-27,eletrician,Siemens,non-Tech,1,69552,62.23
134290184542944,2022-10-08,eletrician,Siemens,non-Tech,2,69770,70.6
134290184549328,2022-08-16,devops engineer,Apple,Tech,1,90337,75.08
134290184547936,2022-11-28,mechanic,Boeing,non-Tech,2,85832,90.01
134290184541072,2022-09-20,mechanic,Boeing,non-Tech,1,85170,88.9
134290184542800,2022-09-30,designer,Boeing,non-Tech,1,95159,71.89
134290184543472,2022-11-30,mechanic,Boeing,non-Tech,2,83642,89.55
134290184548704,2022-05-18,trainee,Boeing,non-Tech,1,78621,86.83
134290184548368,,devops engineer,Apple,Tech,2,84556,73.89
134290184547456,2022-12-24,database engineer,Apple,Tech,2,99176,65.21
134290184545200,2022-12-08,eletrician,Siemens,non-Tech,1,75220,93.6
134290184549232,2022-10-01,mechanic,Siemens,non-Tech,2,,
134290184544960,2022-07-18,eletrician,Siemens,non-Tech,2,81361,
134290184542368,2022-09-12,mechanic,Boeing,non-Tech,2,67906,72.74
134290184542080,2022-10-11,mechanic,Siemens,non-Tech,3,73209,75.12
134290184548176,2022-10-06,eletrician,Siemens,non-Tech,2,78773,77.58
134290184542704,2022-04-27,database engineer,Apple,Tech,1,81433,
134290184542224,2022-08-19,designer,Boeing,non-Tech,2,80506,82.17
134290184547120,2022-06-23,platform engineer,Apple,Tech,2,93290,97.28
134290184545344,2022-12-24,devops engineer,Apple,Tech,2,75992,71.72
134290184544768,2022-11-28,eletrician,Siemens,non-Tech,1,89984,75.47
134290184547840,2022-05-14,trainee,Siemens,non-Tech,2,75180,95.08
134290184547360,2022-10-02,devops engineer,Apple,Tech,1,95825,
134290184543376,2022-10-04,trainee,Boeing,non-Tech,3,80864,91.37
134290184548560,2022-12-22,designer,Boeing,non-Tech,3,73809,63.04
134290184545440,2022-11-24,trainee,Boeing,non-Tech,3,82698,
134290184548416,2022-11-17,platform engineer,Apple,Tech,2,97744,83.29
134290184545008,2022-10-04,mechanic,Boeing,non-Tech,3,97154,86.82
134290184536464,2022-07-31,devops engineer,Apple,Tech,1,91632,83.49
134290184541888,2022-11-23,platform engineer,Apple,Tech,2,76051,86.88
134290184545104,2022-09-09,designer,Boeing,non-Tech,1,88470,84.31
